city,brand,model,type,cc,color,km,year,price
Zaragoza,HONDA,CBR 250R ABS,Sport,250,"Blanca, azul y roja",37000,2012,2400
Guipuzcoa,HARLEY DAVIDSON,Sportster 883,Custom,883,,56000,1999,4500
Cordoba,SUZUKI,GSR 600,Naked,599,,27000,2008,3200
Las Palmas,SUZUKI,Intruder C 1800 R,Custom,1783,negra,21000,2008,7900
Barcelona,YAMAHA,MT 03,Naked,660,blanca,38000,2008,2700
Barcelona,HONDA,XL 125V,Trail,125,negro/gris,210006,2007,1800
Valencia,VICTORY,HAMMER S,Custom,1731,Blanca,18000,2014,9900
Girona,BMW,R 1200 GS,Trail,1170,,56000,2010,11000
Tarragona,HONDA,CBR 600 RR,Sport,599,AMARILLO,45000,2004,3295
Madrid,SYM,GTS 125 EVO,Scooter 125cc,125,Negro,18200,2010,1300
Barcelona,KAWASAKI,Z 1000 ABS,Naked,953,Negra,32000,2008,4500
Barcelona,APRILIA,Tuono 1000 R,Naked,997,Negro,50000,2006,4000
Almeria,SUZUKI,GSX R600,Sport,599,,7500,2005,3500
Cordoba,HARLEY DAVIDSON,Sportster 883 Custom,Custom,883,,36000,2004,7100
Alicante,HONDA,CBR 600 RR,Sport,599,Naranja negra,42000,2004,3000
Barcelona,HARLEY DAVIDSON,Touring Street Glide,Turismo,1584,negra,22000,2015,22000
Barcelona,VICTORY,JACKPOT NESS,Custom,1731,rojo/negro,17000,2009,14444
Sevilla,SYM,HD 125,Scooter 125cc,124,,30000,2006,850
Barcelona,HARLEY DAVIDSON,Softail Heritage Springer,Custom,1450,Rojo,79000,2002,14000
Madrid,BMW,K 1200 LT,Turismo,1171,,290000,2004,5500
Barcelona,GILERA,Fuoco 500 ie,Scooters +125cc,492,negro,23000,2008,4000
Badajoz,MASH,SCRAMBLER 125cc,Naked,125,negro,1800,2015,1800
Alicante,BMW,R 1200 RT,Turismo,1170,NEGRO,12900,2013,14900
A Coruna,HONDA,CRF 250X,Enduro,249,blanca-roja,5200,2009,2990
Barcelona,YAMAHA,T-Max 500,Scooters +125cc,499,GRIS PLATA,50000,2008,4500
Sevilla,BMW,F 650 GS,Trail,798,,84000,2001,2800
Barcelona,YAMAHA,X-MAX 125,Scooter 125cc,124,metalizado,17500,2012,2750
A Coruna,GAS GAS,EC 200 2T,Enduro,199,,7000,2001,1200
Albacete,KYMCO,Xciting 500 R,Scooters +125cc,498,Gris,35800,2009,2000
Vizcaya,YAMAHA,SR 250,Custom,250,negra,13700,1985,1250
Huelva,HYOSUNG,GT 250,Naked,249,negro y gris,10000,2004,2000
Valencia,HARLEY DAVIDSON,Softail 1340 Softail Custom,Custom,1337,,80000,1991,10000
Granada,DUCATI,MONSTER S2R 800,Naked,800,gris negro,33000,2005,3700
Barcelona,BMW,F 800 GS,Trail,798,Negra-Amarilla,34000,2008,5900
Alicante,KAWASAKI,Z 1000,Naked,953,,35000,2008,4600
Sevilla,PEUGEOT,SPEEDFIGHT 3,Scooter 125cc,13,blanco,3,2016,1499
Alicante,YAMAHA,T-Max 500,Scooters +125cc,499,Negra,12900,2008,6350
Barcelona,YAMAHA,XT 600,Trail,600,negra/roja,22500,1988,1300
Orense,KTM,EXC 250 F,Enduro,248,naranja,6200,2007,2650
Madrid,SUZUKI,BURGMAN 125 R,Scooter 125cc,124,,7200,2011,2400
Malaga,PEUGEOT,SATELIS 125 4V EXECUTIVE,Scooter 125cc,125,Gris,10000,2009,1500
Madrid,PIAGGIO,LIBERTY 50 2T,Scooters 50cc,49,,7600,2005,699
Madrid,SUZUKI,GS 500,Naked,500,AZUL,81000,2000,600
Valencia,SUZUKI,Marauder 250,Custom,249,azul,26000,2004,1000
Valencia,KAWASAKI,GTR 1400,Turismo,1352,AZUL,10000,2016,15200
Valencia,KAWASAKI,Z 750,Naked,748,Naranja,63733,2006,2199
Navarra,SUZUKI,GSR 600,Naked,599,Gris,41000,2006,2900
Valencia,KYMCO,K-XCT 125i,Scooter 125cc,124,negro,21000,2014,2400
Sevilla,DAELIM,S2 125 FI,Scooter 125cc,125,Roja,18865,2004,700
Barcelona,VESPA,PK 125 Primavera,Scooter 125cc,125,,700,1983,2500
La Rioja,MOTO GUZZI,Norge 1200 GT 8V,Turismo,1151,Blanco,9300,2015,12000
Madrid,HONDA,SILVER WING 600 ABS,Scooters +125cc,582,Azul metalizado,25000,2009,4000
Barcelona,HONDA,NC 700 S,Naked,670,blanca,11000,2012,3800
Girona,HM,CRE F250X '09,Enduro,249,,4000,2009,3250
Madrid,HARLEY DAVIDSON,Sportster Nightster,Custom,1199,Gris Mate,4600,2008,8699
Barcelona,KYMCO,Super Dink 125i ABS,Scooter 125cc,125,,26550,2012,2150
Barcelona,YAMAHA,MT 03,Naked,660,negra,30000,2010,3200
Zamora,YAMAHA,YZF R1,Sport,998,ROJA NEGRA,6750,2007,9200
Sevilla,APRILIA,Pegaso 650,Trail,652,burdeos,40000,1997,700
Barcelona,HONDA,SCOOPY SH125i ABS,Scooter 125cc,125,,6500,2013,2700
Pontevedra,YAMAHA,XJR 1300,Naked,1251,,,2016,11599
Valencia,HONDA,GL 1000 Goldwing,Turismo,999,Amarillo,22000,1977,5600
Ciudad Real,VESPA,GTS 300 ie Touring,Scooters +125cc,278,,12600,2012,3600
Barcelona,BMW,F 800 GS Adventure,Trail,798,Verde Kalamata,28300,2014,10500
Girona,PIAGGIO,beverly Tourer 125,Scooter 125cc,124,negro,9500,2008,1600
Barcelona,KTM,450 SMR,Supermotard,449,,,2009,3700
Zaragoza,YAMAHA,XJ6 Diversion N,Naked,600,Roja,22000,2012,3999
Salamanca,HONDA,CBR 600F,Sport,599,NEGRA,82000,2002,2700
Asturias,BMW,R 1200 GS,Trail,1170,ROJA,9901,2014,15600
Malaga,YAMAHA,X MAX 125 ABS,Scooter 125cc,125,Negro,20000,2012,3200
Valencia,APRILIA,ETV 1000 Caponord,Trail,997,serigrafíada,80000,2007,3999
Barcelona,SUZUKI,BURGMAN 250,Scooters +125cc,250,gris antracita,84000,2007,1800
Malaga,BMW,R 1200 R,Naked,1170,NEGRA,104500,2007,5549
Malaga,APRILIA,RS 125 2T,Sport,125,BLANCA,13000,2011,2899
Vizcaya,BMW,R 1150 R,Naked,1130,Azul,27300,2002,5900
Barcelona,HONDA,@ 125,Scooter 125cc,124,plata,43000,2006,1350
A Coruna,SUZUKI,BURGMAN 400 A ABS,Scooters +125cc,400,Gris ocuro,13500,2011,5000
Barcelona,HONDA,SH Mode 125,Scooter 125cc,125,,,2015,2899
Valencia,KYMCO,Venox 250,Custom,249,negro,27415,2007,1400
Barcelona,HONDA,SCOOPY SH150i,Scooters +125cc,153,marron,53500,2007,1200
Valencia,MALAGUTI,Password 250,Scooters +125cc,250,negra,28640,2005,1300
Castellon,YAMAHA,FZS 600 Fazer,Naked,599,,86000,2002,1800
Barcelona,PIAGGIO,LIBERTY 50,Scooters 50cc,49,Verde,50000,2000,380
Tarragona,MASH,CAFE RACER 125 BLACK,Con marchas,125,Negra,3300,2016,2000
Tarragona,YAMAHA,X MAX 250,Scooters +125cc,249,negro,20000,2006,1800
Badajoz,MONTESA,Cota 348,Trial,350,ROJO,5000,1980,2500
Lleida,HONDA,CB 600F HORNET,Naked,599,Blanco,1900,2016,4600
Granada,PIAGGIO,VESPA LX 50,Scooters 50cc,50,VERDE/AZUL,23019,2001,800
Segovia,BETA,RR 50 Enduro,Enduro,49,,5000,2008,999
Barcelona,APRILIA,Sportcity 125,Scooter 125cc,124,negro,53600,2005,850
Alicante,BMW,R 1200 RT,Turismo,1200,Negro,30000,2010,12000
Madrid,HONDA,VFR 750 F,Sport,750,Verde,97000,1992,1800
Baleares,KTM,690 SMC,Supermotard,654,Negra,18000,2009,4500
Alicante,HONDA,NT 700 V DEAUVILLE,Turismo,680,Gris Antracita,53000,2008,5000
Barcelona,HONDA,SW T600 ABS,Scooters +125cc,600,GRIS PLOMO,47000,2011,3900
Malaga,HONDA,NT 650 V DEAUVILLE,Turismo,647,GRIS PLATA,131000,2005,2399
Sevilla,PIAGGIO,X EVO 400,Scooters +125cc,399,azul,18000,2010,2790
Tarragona,HUSQVARNA,FE 350,Enduro,350,Blanco,5600,2014,5700
Madrid,VESPA,P 200 E,Scooter 125cc,150,,24030,1984,1600
Malaga,SYM,Fiddle III 125,Scooter 125cc,125,Azul Oscuro,1800,2015,1250
Girona,HONDA,VFR 800,Sport,781,rojo,100000,1999,2300
A Coruna,YAMAHA,FJR 1300 A,Turismo,1298,GRIS,1,2016,16999
A Coruna,SUZUKI,SV 650 S,Turismo,645,azul,99000,2000,1300
Barcelona,HARLEY DAVIDSON,Dyna Fat Bob,Custom,1690,Blanco (white hot denim),29000,2011,12000
Zaragoza,ROYAL ENFIELD,Continental,Naked,535,ROJO-AMARILLO-NEGRO,,2015,5199
Girona,BMW,R 1200 GS Adventure 105cv,Trail,1170,"blanco, negro y rojo.",52000,2007,10700
Zaragoza,SYM,Symphony 125 SR,Scooter 125cc,125,BLANCO,28000,2012,1100
Pontevedra,YAMAHA,FZ1 N,Naked,998,,6493,2015,7490
Baleares,KAWASAKI,Z 750,Naked,748,negro,13000,2012,5000
Burgos,SUZUKI,GSX R600,Sport,599,azul y blanca,13400,2005,4000
Barcelona,HONDA,SCOOPY SH300i C-ABS,Scooters +125cc,279,Gris,22150,2010,3100
Madrid,HONDA,CBR 600F,Sport,599,,70000,1999,1300
Barcelona,HONDA,CBR 600 RR,Sport,600,N/D,34000,2009,5600
Barcelona,TRIUMPH,SPEED Triple R,Naked,1050,Crystal White,4800,2016,14100
Vizcaya,HONDA,TRANSALP XL 650 V,Trail,647,,24000,2007,3800
Navarra,SUZUKI,RF 600,Sport,600,rojo,50000,1993,1000
Barcelona,SUZUKI,V-Strom 650,Trail,645,Negro,32000,2011,4800
Barcelona,YAMAHA,YP Majesty 400,Scooters +125cc,395,Burdeos,66300,2007,3250
Burgos,HONDA,VFR 750 F,Sport,750,rojo,85000,1996,2300
Madrid,HONDA,CBF 1000 C-ABS,Turismo,998,roja,29900,2007,4750
Barcelona,KYMCO,Super Dink 125i,Scooter 125cc,125,,27800,2010,1700
Madrid,APRILIA,Shiver 750,Naked,750,,35000,2011,3700
Barcelona,HONDA,NC 700 S,Naked,670,Negro,17000,2012,3800
Madrid,HUSQVARNA,WRE 125,Trail,125,Azul y amarilla,1520,2006,2800
Barcelona,YAMAHA,WR 400 F,Enduro,399,,5000,2001,1750
Tarragona,BMW,G 650 GS,Trail,652,negro,1441,2016,7500
Sevilla,HONDA,VFR 800 FI,Sport,781,BLANCO,41000,2005,4000
Madrid,BMW,C 600 Sport,Scooters +125cc,647,GRIS,9000,2013,6950
Ciudad Real,HONDA,CBR 600 RR,Sport,599,naranja y negro,42000,2006,3500
Girona,KTM,990 ADVENTURE S,Trail,999,,41000,2007,7499
Barcelona,YAMAHA,SR 250,Custom,250,granate,70000,1991,500
Madrid,DAELIM,Roadwin 125,Naked,124,negro,7800,2014,1399
Sta. C. Tenerife,TRIUMPH,STREET TRIPLE R,Naked,675,,29000,2009,4700
Barcelona,HARLEY DAVIDSON,Sportster 883 Iron,Custom,883,,20000,2014,8500
Alicante,TRIUMPH,ROCKET III,Custom,2294,,19500,2006,10900
Leon,HARLEY DAVIDSON,Sportster 883 Iron,Custom,883,Negra mate,7620,2011,8500
Barcelona,HONDA,SCOOPY SH125i,Scooter 125cc,125,Blanco,24000,2011,1850
Sevilla,BMW,S 1000 RR,Sport,999,blanco-rojo,11200,2012,12800
Segovia,APRILIA,SR 50,Scooters 50cc,50,Vinilo-negra,14500,1999,599
Tarragona,KYMCO,Super Dink 125i,Scooter 125cc,125,Blanco,8800,2011,2000
Madrid,HANWAY,Raw 125,Naked,123,Verde,3875,2016,1399
Barcelona,KYMCO,Agility 125,Scooter 125cc,125,Blanco,2000,2016,1250
Granada,KYMCO,Super Dink 125i,Scooter 125cc,125,negra,2400,2015,2500
Barcelona,BMW,F 800 ST,Turismo,798,Gris,69000,2008,4000
Madrid,KEEWAY,Superlight 125,Custom,124,negra mate,16000,2011,1050
Cordoba,YAMAHA,FZ6 N,Naked,600,Naranja,15000,2006,4600
Barcelona,SUZUKI,GSR 600,Naked,599,naranja,32000,2008,3200
Albacete,KTM,1190 Adventure,Trail,1195,Naranja KTM,5500,2015,14450
Lleida,HONDA,PAN-EUROPEAN ST 1100,Turismo,1084,azul,89000,1999,2800
Cadiz,SUZUKI,Hayabusa 1300,Sport,1340,NARANJA,9500,2009,9999
Albacete,SUZUKI,BURGMAN 125,Scooter 125cc,125,,4000,2015,2700
Malaga,BMW,F 800 GS,Trail,798,negro,49231,2008,6900
Madrid,HONDA,CBR 125R,Sport,125,,27400,2004,1000
Vizcaya,APRILIA,Mana 850,Naked,840,rojo/gris,65000,2008,3000
Valencia,VESPA,GTS 250 ie,Scooters +125cc,244,Negro,23000,2007,2300
Toledo,SUZUKI,BURGMAN 250,Scooters +125cc,250,Gris,16000,2007,2150
Barcelona,BMW,F 800 GS,Trail,798,,10000,2011,8000
Barcelona,BENELLI,250 2 C,Turismo,231,Roja,14000,1980,1995
Barcelona,SUZUKI,Intruder M800,Custom,805,negro,15000,2005,4850
Murcia,DAELIM,Daystar 125 FI Black Plus,Custom,124,Negro,9075,2010,1600
Madrid,KAWASAKI,J 300 SE ABS,Scooters +125cc,300,,6000,2015,3800
Cuenca,YAMAHA,T-Max 530 BLACK MAX,Scooters +125cc,530,negro,9968,2013,9000
Murcia,DUCATI,999 S,Sport,999,,30000,2006,8500
Barcelona,KTM,690 SUPERMOTO,Supermotard,654,Naranja,4000,2007,4999
Huelva,HONDA,CBR 1000RR,Sport,998,negra y blanca,35000,2006,4500
Malaga,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,Gris,35500,2010,5400
Barcelona,ROYAL ENFIELD,Bullet Classic,Turismo,499,negro,30600,2007,3000
Guadalajara,TRIUMPH,AMERICA 900,Custom,865,Azul/Blanco,68000,2008,5500
Barcelona,SUZUKI,BURGMAN 200,Scooters +125cc,200,blanco,24500,2010,1600
Valencia,TRIUMPH,Legend TT,Naked,885,NEGRO,59974,1998,4000
Madrid,PIAGGIO,X7 250,Scooters +125cc,250,Negro,25000,2008,1500
Barcelona,HONDA,CR 80,Infantil,79,,3000,2003,800
Barcelona,KTM,1290 Super Duke R,Naked,1301,,23700,2014,12000
Barcelona,HONDA,CB 250 TWO FIFTY,Sport,237,,63000,1993,1200
Valencia,RIEJU,DRAC 50,Con marchas,50,,,1992,420
Barcelona,BMW,R 1200 RT,Turismo,1200,gris obsidiana metalizado,26655,2012,13500
Malaga,BMW,R 1200 R,Turismo,1170,blanco,59000,2015,10500
Malaga,BMW,R 1200 GS Adventure,Trail,1170,Blanco Luminoso,49000,2014,16000
Malaga,BMW,F 700 GS,Trail,798,blanco,60000,2015,5600
Barcelona,TRIUMPH,ROCKET III,Custom,2294,Matt Black,13800,2014,14499
Madrid,DUCATI,MONSTER 696+ ABS,Naked,696,Blanco,39999,2010,5000
Badajoz,YAMAHA,XS 400,Turismo,400,negra Mustang,50000,1990,1600
A Coruna,YAMAHA,T-Max 530 ABS,Scooters +125cc,530,blanco,10000,2012,9000
Barcelona,YAMAHA,X MAX 250,Scooters +125cc,249,,55500,2007,1500
Valencia,APRILIA,RS 125,Sport,124,,14000,2007,2450
Madrid,DERBI,GPR 50 R,Sport,49,verde,1000,2010,900
Castellon,HARLEY DAVIDSON,Sportster 883 Low,Custom,883,,25000,2004,6000
Barcelona,APRILIA,Shiver 750,Naked,750,blanco,23000,2012,3950
Leon,KTM,EXC 450,Enduro,449,,2500,2016,8500
Malaga,HONDA,GL 1800 Goldwing,Turismo,1800,Azul,125100,2001,12000
Barcelona,HONDA,Forza 125,Scooter 125cc,125,Negro,3907,2016,3900
Valencia,HARLEY DAVIDSON,Softail Fat Boy,Custom,1450,,37000,2004,12000
Barcelona,GILERA,GP 800,Scooters +125cc,800,negro,20500,2011,5000
Alicante,SUZUKI,GSX R600,Sport,599,,37000,2007,3500
Las Palmas,HYOSUNG,GT 125 Comet,Naked,124,,19000,2005,1100
Girona,VESPA,PK 75 S,Scooter 125cc,75,NEGRO,16589,1987,990
Girona,MALAGUTI,Phantom F12 R Capirex,Scooters 50cc,49,ROJA,11265,2010,899
Barcelona,KYMCO,K-XCT 125i,Scooter 125cc,124,BLANCO,5000,2016,2800
Girona,BMW,C 650 GT,Scooters +125cc,647,NEGRA,28000,2014,6500
Barcelona,HONDA,NT 650 V DEAUVILLE,Turismo,647,AZUL,40000,2000,2800
Albacete,KYMCO,K-XCT 125i,Scooter 125cc,124,blanco,4000,2014,2500
Zaragoza,HONDA,SCOOPY SH125i ABS Top Box,Scooter 125cc,125,blanco,4000,2015,2900
Lleida,HARLEY DAVIDSON,Sportster 883 Iron Dark Custom,Custom,883,,14000,2013,9900
Madrid,MV AGUSTA,BRUTALE 800,Naked,798,TODOS,,2015,13795
Girona,GOES,G 125 L,Scooter 125cc,125,,,2017,2495
Girona,SUZUKI,GS 500F,Turismo,487,GRIS OSCURO,35000,2008,2800
Murcia,BMW,R 1200 RT 110cv,Turismo,1170,PLATA,67826,2007,8900
A Coruna,KAWASAKI,VULCAN 500,Custom,500,Negro,60000,1991,2900
Castellon,SUZUKI,BURGMAN 400,Scooters +125cc,400,blanca,4600,2015,5150
Malaga,VESPA,200 Iris,Scooters +125cc,198,blanca,14491,1998,2200
Granada,BMW,F 800 GS,Trail,798,blanca,33000,2010,7400
Madrid,SUZUKI,Intruder C 1800 R,Custom,1783,Negro,14485,2012,9800
Madrid,YAMAHA,V-Max 1700,Naked,1679,Negro,12400,2012,18000
Madrid,SYM,Maxsym 600i,Scooters +125cc,565,,18000,2014,4500
Madrid,BMW,F 800 GS,Trail,798,Amarillo,25000,2009,7300
Murcia,HONDA,VTX 1300,Custom,1312,negro,25393,2005,5600
Madrid,HONDA,CRM 125 R,Trail,124,BLANCO ROJO,20000,1998,1800
Barcelona,APRILIA,Classic 50,Con marchas,50,,15800,2000,850
Malaga,HONDA,GL 1800 Goldwing,Turismo,1800,,90000,2008,17000
Cordoba,HONDA,NSR 125 F,Sport,125,verde negra naranja,10,1991,900
Barcelona,HARLEY DAVIDSON,Touring Road King Classic,Turismo,1340,azul,66000,2003,11500
Sevilla,BMW,K 1600 GT,Turismo,1649,burdeo,29000,2011,16800
Sevilla,APRILIA,Scarabeo 250,Scooters +125cc,244,gris,20000,2005,1200
Barcelona,HONDA,FORZA 250 X,Scooters +125cc,250,Gris,44000,2007,1575
Badajoz,SUZUKI,Katana 50 R LC,Scooters 50cc,49,negra y blanca,8500,1999,450
Vizcaya,YAMAHA,XT 1200 Z Super Tenere Adventure,Trail,1199,Blanco,60000,2011,9000
Alicante,DERBI,GP1 RACING 250,Scooters +125cc,244,gris,18484,2007,1500
Baleares,HONDA,CB 500,Sport,500,verde,64000,1994,1000
Sevilla,LIFAN,LF 125 14F,Custom,125,Negro,1444,2008,700
Toledo,APRILIA,RS 50,Sport,50,,10000,2000,550
Tarragona,HONDA,Vision 50,Ciclomotor,50,gris,4915,2014,1200
Barcelona,HONDA,SCOOPY SH300i Sport,Scooters +125cc,279,Negro,20000,2011,3500
Tarragona,TRIUMPH,TIGER 800 XC ABS,Trail,799,Bl,13500,2012,7650
Guipuzcoa,KAWASAKI,Z 1000 SX,Turismo,1043,,3000,2016,11200
Barcelona,HONDA,CBR 125R,Sport,125,rojo/gris,60000,2005,1000
Guipuzcoa,BMW,F 800 ST,Turismo,798,Azul,62000,2007,4400
Cadiz,SUZUKI,Intruder 250 LC,Custom,248,gris,6700,2017,1590
Girona,TRIUMPH,Trident 750,Naked,749,,91000,1997,2500
Cantabria,YAMAHA,X MAX 250,Scooters +125cc,250,Negro,8000,2010,3250
Lleida,YAMAHA,FZ6 N,Naked,600,negro,32000,2008,2800
Baleares,PIAGGIO,X EVO 125,Scooter 125cc,124,negro mate,11000,2016,1900
Alicante,HONDA,CB 600F HORNET,Naked,599,blanco,30000,2007,3700
Sevilla,HARLEY DAVIDSON,Softail Fat Boy,Custom,1450,bicolor,100000,2001,8500
Albacete,BMW,R 1200 GS,Trail,1170,,99800,2007,8900
Barcelona,BMW,F 800 GT,Turismo,798,NEGRO,8302,2015,9000
La Rioja,SUZUKI,GSX 750 F,Sport,750,azul,27000,1995,900
Girona,SUZUKI,Bandit 650,Naked,656,,23000,2006,3500
Barcelona,PIAGGIO,LIBERTY 50,Scooters 50cc,49,Gris,18000,2002,490
Zaragoza,SUZUKI,V-Strom 650 ABS,Trail,650,negra,26000,2011,4800
Granada,SUZUKI,GSX R600,Sport,599,Blanca y plata,49000,2008,5200
Madrid,HYOSUNG,GT 650Ri COMET,Sport,647,,22000,2010,2000
Granada,HONDA,SCOOPY SH125i ABS,Scooter 125cc,125,Blanca,6350,2013,2500
Alicante,BMW,R 1200 GS Adventure 98cv,Trail,1170,,65900,2006,8800
Pontevedra,HONDA,CBR 600F,Sport,599,azul y rojo,77000,1999,1890
Barcelona,TRIUMPH,BONNEVILLE T100,Naked,865,Negro,65000,2008,5000
Barcelona,SUZUKI,BURGMAN 400,Scooters +125cc,399,,75000,2005,1000
Barcelona,HONDA,CRF 1000 L,Trail,1000,,14000,2016,11500
Barcelona,TRIUMPH,SPEED TRIPLE,Naked,1050,,24000,2011,7700
Sta. C. Tenerife,YAMAHA,X MAX 125,Scooter 125cc,125,Negro,17000,2011,2100
Almeria,HONDA,VARADERO XL1000V,Trail,996,GRIS,70000,2006,5000
Jaen,KAWASAKI,ER 6N,Naked,649,,26000,2008,3200
A Coruna,DAELIM,S3 125 FI,Scooter 125cc,124,azul,24000,2013,1350
Barcelona,HONDA,SCOOPY 75,Scooter 125cc,75,,30000,1994,550
Madrid,KAWASAKI,ZZR 250,Sport,248,,49250,2001,1200
Alicante,BETA,RK6 50,Ciclomotor,50,,6000,2000,1150
Barcelona,HONDA,CBR 600F,Sport,600,,110000,1994,700
Huesca,HONDA,Dominator 650 NX,Trail,650,Blanco - Azul,77500,1992,2000
Malaga,HARLEY DAVIDSON,Sportster 1200 Custom,Custom,1202,oro viejo,41000,2008,8000
Valencia,BMW,C 650,Scooters +125cc,647,Naranja Valencia,6000,2016,9000
Barcelona,BMW,R 1200 GS,Trail,1170,,115000,2004,6500
Palencia,DERBI,Terra 125 Adventure,Turismo,124,Blanca,18000,2008,1500
Madrid,BMW,F 800 GS,Trail,798,,50000,2009,8500
Madrid,SUZUKI,GS 500F,Turismo,487,negro/gris,56000,2006,2200
Barcelona,HONDA,CBR 600F,Sport,599,negro,88000,1998,1500
Madrid,YAMAHA,YZ 250 F,Cross,250,,,2015,4500
Barcelona,YAMAHA,X MAX 125,Scooter 125cc,125,negro,21462,2013,2700
Malaga,SUZUKI,V-Strom 650,Trail,645,Gris,30000,2008,4200
Sevilla,BMW,R 1200 GS 105cv,Trail,1170,,67000,2008,9000
Cantabria,HONDA,PAN-EUROPEAN ST 1300 ABS,Turismo,1261,Azul,13000,2004,8000
Cordoba,PIAGGIO,X8 125,Scooter 125cc,124,NEGRO,38300,2005,1550
Zaragoza,PIAGGIO,HEXAGON GT 250 4T,Scooters +125cc,244,azul oscuro,42677,1999,800
Sta. C. Tenerife,HONDA,CB 1000R,Naked,998,NEGRO,23000,2010,7200
Zaragoza,TRIUMPH,SPEED TRIPLE 15 aniversario,Naked,990,NEGRO,13500,2009,7512
Badajoz,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,negro mate,38000,2015,7000
Albacete,HONDA,CBR 900RR FIREBLADE,Sport,929,,34392,2000,2500
Barcelona,HONDA,Forza 125,Scooter 125cc,125,blanco,15962,2015,3600
Madrid,SUZUKI,GS 500F,Turismo,487,azul,63200,2001,1500
Madrid,KAWASAKI,KX 85 I,Cross,84,verde,10,2005,1500
Barcelona,APRILIA,Scarabeo 100 4T,Scooter 125cc,92,,21700,2007,495
Valencia,KAWASAKI,GPZ 400 F2,Sport,400,Roja,36000,1991,1300
Toledo,KTM,EXC 250,Enduro,249,,8800,2007,3600
Valencia,PIAGGIO,Beverly 300IE,Scooters +125cc,278,azul,18000,2013,2700
Madrid,SUZUKI,GSX R600,Sport,599,NEGRO,40000,2007,4750
Vizcaya,APRILIA,Tuono V4 1100 Factory,Naked,1077,,1,2017,15850
Zaragoza,TRIUMPH,Bonneville,Naked,900,"negro, azul-blanco y naranja-nacar",,2016,10300
Vizcaya,APRILIA,RSV4 RF,Sport,1000,FACTORY,1,2017,20800
Murcia,HONDA,CB 600F C-ABS HORNET,Naked,599,NEGRA,22222,2009,5900
Barcelona,HONDA,SCOOPY SH125i,Scooter 125cc,125,,74000,2011,1300
Ciudad Real,TRIUMPH,TIGER 800,Trail,799,verde,31000,2012,8200
Girona,GOES,G 125 GT,Scooter 125cc,124,,15,2017,2090
Baleares,HONDA,CB 600F HORNET,Naked,599,,35000,2007,3300
Toledo,KAWASAKI,ZX 9R,Sport,899,,56000,1994,1450
Asturias,BMW,F 800 ST,Turismo,798,AZUL,75000,2008,4000
Zaragoza,PIAGGIO,X9 180 Amalfi,Scooters +125cc,182,gris,29500,2003,750
Alicante,SUZUKI,Hayabusa 1300,Sport,1340,Black,1580,2008,9200
Alicante,KAWASAKI,VULCAN 500,Custom,500,negro,64500,1992,1899
Barcelona,HYOSUNG,ST 7,Custom,678,Negro,640,2015,4900
Barcelona,BMW,R 1100 S,Sport,1085,Negro,61400,1999,3750
Barcelona,SUZUKI,GSR 750,Naked,749,Rojo,20000,2013,5500
Madrid,SUZUKI,GSX R750,Sport,749,Negra y gris,50041,2000,2150
Sevilla,SUZUKI,VanVan 125,Naked,124,,26000,2007,1750
Barcelona,HONDA,SCOOPY SH125i,Scooter 125cc,125,Negra,63000,2007,1700
Madrid,BMW,R 1200 GS,Trail,1170,Negro,66000,2007,8600
Albacete,BMW,F 800 GS,Trail,798,,5800,2016,11000
Madrid,GOES,G 250 MAX,Scooters +125cc,249,negro,100,2014,5500
Girona,APRILIA,RS 125 Extrema,Sport,124,,20000,2000,1200
Guipuzcoa,HONDA,SCOOPY SH300i,Scooters +125cc,279,,12000,2007,2400
Castellon,SUZUKI,VL 800 Intruder Volusia,Custom,805,azul y gris,31000,2004,4000
Cantabria,PIAGGIO,X7 EVO 125 ie,Scooter 125cc,124,blanco,25354,2013,1700
Ciudad Real,YAMAHA,YZ 450 F,Cross,449,blanca,10,2010,3000
Valencia,HONDA,CRF 450X,Enduro,449,,11000,2006,2600
Barcelona,TRIUMPH,Bonneville,Naked,900,Rojo,53000,2009,6500
Barcelona,YAMAHA,T-Max 500 ABS,Scooters +125cc,499,Negro,25000,2011,6700
Valladolid,SUZUKI,GSR 600,Naked,599,azul,31000,2005,3500
Malaga,YAMAHA,FZ6 N,Naked,600,,62000,2005,2500
Valencia,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,,55200,2007,3200
Barcelona,KYMCO,K-XCT 125i,Scooter 125cc,124,azul metalizado,4000,2015,2000
Sevilla,HONDA,CBF 600S,Turismo,600,Gris,53240,2007,3400
Tarragona,YAMAHA,XV 250 Virago,Custom,248,Negra,30000,1999,1500
Madrid,YAMAHA,X-MAX 250,Scooters +125cc,249,negro,64893,2007,1600
Jaen,BMW,F 650 GS,Trail,798,ROJO,15000,2001,2700
Madrid,HARLEY DAVIDSON,Sportster 1200 Sport,Custom,1200,Azul metalizado,8566,2003,7000
Guipuzcoa,BMW,K 100 RS,Turismo,1000,blanca,50000,1991,4990
Baleares,HARLEY DAVIDSON,Softail Fat Boy Special,Custom,1584,negor,65000,2011,18000
Madrid,HARLEY DAVIDSON,Touring Road King,Turismo,1340,,95904,2003,12000
Guipuzcoa,HONDA,PAN-EUROPEAN ST 1100,Turismo,1084,granate,80000,1998,3490
